district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Nashik,P51600010467,Rajashree Oyster Phase II,Rajashree Construction,422003,"('21.129149900000000','79.115336700000000')",On-Going Project,03/31/2023,06/30/2023,,Residential,6000.0,600.0,4354.24,03/31/2023,,,74.0,73.0,0.0,3.0,0.0,15.0,3.0,15.0,37.0,0.0,0.0,0.0
Nashik,P51600007109,SAIRAJ SKY COURT APARTMENTS,SAIRAJ BUILDERS AND DEVELOPERS,422009,"('21.177507400000000','79.089924500000000')",On-Going Project,06/30/2018,06/30/2018,06/30/2019,Residential,2280.62,0.0,5652.64,12/22/2022,,,52.0,17.0,0.0,1.0,0.0,15.0,1.0,45.0,20.0,0.0,0.0,0.0
Nashik,P51600009580,JYOTI POOJA APARTMENT,JYOTI BUILDCON,422003,"('21.119698900000000','79.037667200000000')",On-Going Project,12/31/2019,12/31/2019,,Residential,462.06,0.0,458.14,11/25/2021,,,10.0,10.0,0.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,0.0
Nashik,P51600006982,GAJANAN,SIDDHARTH RAMESH SHAH,422003,"('19.876165300000000','75.343313900000000')",On-Going Project,06/30/2018,06/30/2018,,Residential,711.5,1409.4,705.74,12/18/2019,,,10.0,24.0,0.0,1.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,0.0
Nashik,P51600012842,BHASKAR AVENUE,TUKARAM TANAJI WAGH,422002,"('19.183863100000000','72.858432100000000')",On-Going Project,01/25/2018,07/25/2018,,Residential,500.02,0.0,700.02,09/20/2023,,,16.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600008569,LOTUS APPARTMENT,JAY AMBE ASSOCIATES,422003,"('18.627776400000000','74.172438000000000')",On-Going Project,03/31/2019,09/01/2019,,Residential,300.0,0.0,383.65,09/24/2021,,,12.0,12.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0
Nashik,P51600012096,VIMAL HEIGHTS,DEEPAK KACHARU HANDGE,422002,"('19.890263400000000','75.323544000000000')",On-Going Project,01/01/2018,06/02/2018,10/30/2020,Residential,778.42,0.0,549.59,10/17/2018,,,14.0,5.0,0.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0
Nashik,P51600012272,ISHWAR PRESTIGE,SHANKAR GHANSHYAMDAS SAMNANI,422013,"('19.052112200000000','72.900668000000000')",On-Going Project,08/31/2017,03/31/2018,,Residential,3457.82,0.0,4858.0,10/15/2018,,,69.0,45.0,0.0,1.0,0.0,12.0,0.0,56.0,0.0,0.0,0.0,0.0
Nashik,P51600013041,Soham,S B Constructions,422005,"('16.696646700000000','74.607834400000000')",On-Going Project,05/22/2017,12/31/2017,,Residential,521.4,0.0,729.96,09/01/2021,,,20.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Nashik,P51600006414,Crown Square,Crown Makers Builders and Developers,422007,"('16.226445000000000','74.349969100000000')",On-Going Project,03/31/2021,12/31/2020,,Residential,342.37,0.0,477.37,05/06/2022,,,12.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
