district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai City,P51900033409,GURUKRUPA AAGAM,GURUKRUPA GROUP BUILDERS AND DEVELOPERS LLP,400075,,New Project,12/31/2024,,,Residential,1042.67,0.0,6382.81,04/14/2023,,,94.0,68.0,0.0,1.0,0.0,12.0,1.0,0.0,65.0,0.0,0.0,0.0
Mumbai City,P51900033706,GURUKRUPA PARAM,GURUKRUPA REALCON LIFESPACES LLP,400083,,New Project,12/31/2024,,,Residential,780.65,0.0,5827.5,12/09/2023,,,145.0,128.0,0.0,1.0,0.0,19.0,1.0,0.0,23.0,0.0,0.0,0.0
Mumbai City,P51900033712,KSA PALMS,M/S. KSA ENTERPRISES,400008,"('18.972072775121010','72.825882560490040')",New Project,12/31/2027,,,Residential,813.55,78.03,4529.73,01/16/2024,,,29.0,27.0,0.0,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900034316,Kalpataru Oceana,Kalpataru Properties (Thane) Pvt. Ltd.,400025,"('19.016891837943450','72.826068974016580')",New Project,12/31/2026,,,Residential,1990.81,298.62,5158.77,01/20/2024,,,25.0,4.0,1.0,1.0,4.0,30.0,1.0,0.0,83.0,0.0,0.0,0.0
Mumbai City,P51900034288,RAHEJA MODERN VIVAREA SOUTH TOWER,K RAHEJA CORP PRIVATE LIMITED,400011,,New Project,09/30/2028,,,Residential,12601.99,3150.5,24357.31,01/18/2024,2.0,,152.0,70.0,2.0,1.0,6.0,30.0,1.0,0.0,435.0,0.0,0.0,0.0
Mumbai City,P51900033907,D. K. SKYVIEW,D.K. REALTORS & DEVELOPERS LIMITED,400008,"('18.962630191162173','72.827052313174040')",New Project,11/30/2026,,,Mixed (Plots & Buildings),903.29,0.0,9644.23,02/24/2022,,,88.0,0.0,1.0,1.0,1.0,38.0,1.0,0.0,78.0,0.0,0.0,0.0
Mumbai City,P51900033823,THE AURO,ALAMDAR INFRASTRUCTURE PVT LTD,400013,"('19.075983700000000','72.877655900000000')",New Project,11/07/2027,,,Others,898.76,0.0,5163.38,12/12/2023,1.0,,24.0,2.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900033973,CORNER OF FIVE,Ramniklal Dhanji Chhadva,400019,"('19.022102868188675','72.851375616072090')",New Project,03/31/2026,,,Residential,937.29,0.0,3736.47,01/18/2024,,,10.0,5.0,1.0,1.0,4.0,17.0,1.0,0.0,28.0,0.0,0.0,0.0
Mumbai City,P51900033760,JADE CREST,National Happy Homes,400031,"('19.022101600317963','72.857696912167940')",New Project,09/30/2026,,,Residential,1217.4,129.42,5109.58,11/24/2023,,,21.0,19.0,1.0,1.0,5.0,16.0,1.0,0.0,28.0,0.0,0.0,0.0
Mumbai City,P51900034148,Bellwether Heights,ORIENT AVIATIONS PRIVATE LIMITED,400019,,New Project,09/30/2025,,,Residential,444.82,0.0,1806.1,01/05/2024,,,33.0,4.0,0.0,1.0,5.0,20.0,0.0,0.0,37.0,0.0,0.0,0.0
Mumbai City,P51900034493,GUNDECHA-KBK-MAGNUM PHASE I,GundechaConstructionPvtLtd,400012,,New Project,03/31/2027,,,Residential,11736.72,287.24,22799.43,12/02/2023,,,170.0,40.0,1.0,1.0,9.0,41.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900034450,AMBAJI APARTMENT,BUILTRON DEVELOPERS,400080,,New Project,09/30/2025,,,Others,1672.2,541.47,4955.4,09/22/2023,,,32.0,9.0,0.0,1.0,4.0,17.0,1.0,0.0,46.0,0.0,0.0,0.0
Mumbai City,P51900034045,SHREE UDYAN,SQUARE NINE HABITATS LLP,400028,,New Project,12/31/2024,,,Residential,482.44,0.0,1825.0,04/29/2023,,,9.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,24.0,0.0,0.0,0.0
Mumbai City,P51900034445,ONE INDIA HEIGHTS,ONEINDIA CONSTRUCTION LLP,400008,,New Project,04/30/2024,,,Residential,745.82,0.0,2285.29,03/29/2022,,,32.0,0.0,0.0,1.0,0.0,23.0,1.0,0.0,28.0,0.0,0.0,0.0
Mumbai City,P51900033873,GURUKRUPA EKATVAM,GURUKRUPA REALCON LIFESPACES LLP,400083,,New Project,12/31/2024,,,Residential,926.54,0.0,6751.11,04/25/2023,,,156.0,121.0,0.0,1.0,0.0,17.0,1.0,0.0,31.0,0.0,0.0,0.0
Mumbai City,P51900034425,KINGS TOWER,MOHAMMED ESHAQ ALI VADGAMA,400008,,New Project,09/30/2025,,,Mixed (Plots & Buildings),1782.48,217.47,6881.97,03/31/2022,,,38.0,0.0,0.0,2.0,0.0,38.0,0.0,0.0,90.0,0.0,0.0,0.0
Mumbai City,P51900034496,KAMAL TOWER,KAMAL ENTERPRISES,400012,,New Project,12/31/2025,,,Residential,675.59,0.0,1644.57,04/08/2023,,,26.0,0.0,1.0,1.0,1.0,13.0,0.0,0.0,48.0,0.0,0.0,0.0
Mumbai City,P51900035023,The Baya Midtown,Renaissance Construction (Rautwadi),400028,"('19.024187234539525','72.843040651558310')",New Project,12/31/2028,,,Residential,2726.24,160.0,7417.81,08/22/2023,2.0,,119.0,16.0,0.0,1.0,0.0,22.0,1.0,0.0,115.0,0.0,0.0,0.0
Mumbai City,P51900035094,Sumukh Plaza,DHARMESH CONSTRUCTION CO.,400028,,New Project,03/31/2025,,,Others,702.34,0.0,0.0,10/13/2023,,,28.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900034202,Chaitanya Nishigandh,Chaitanya Developers,400016,,New Project,12/31/2024,,,Residential,471.85,0.0,1528.73,10/29/2023,,,21.0,16.0,0.0,1.0,0.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900034361,GURUKRUPA NIGAM,GURUKRUPA REALCON LIFESPACES LLP,400075,,New Project,12/31/2024,,,Residential,881.39,0.0,6562.58,12/09/2023,,,115.0,96.0,0.0,1.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai City,P51900047318,CHIRAG HEIGHTS,NETTHEIM BUILDERS LLP,400014,"('19.016270700000000','72.850452400000000')",New Project,12/31/2025,,,Residential,475.76,231.56,1902.41,11/22/2023,,,14.0,4.0,1.0,1.0,4.0,16.0,1.0,0.0,36.0,0.0,0.0,0.0
Mumbai City,P51900045357,SATNAM LEELA,L NAGPAL DEVELOPERS,400071,"('19.017616900000000','72.856128800000000')",New Project,09/01/2024,,,Residential,504.7,0.0,943.85,11/11/2023,,,12.0,4.0,0.0,1.0,0.0,12.0,1.0,5.0,15.0,0.0,0.0,0.0
Mumbai City,P51900034521,JIVAN PRAKASH 89 BUILDCON,EIGHTY NINE BUILDCON,400016,,New Project,12/31/2028,,,Residential,1241.65,112.03,6825.69,01/11/2024,,,83.0,0.0,1.0,1.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900034398,GURUKRUPA DIVYAM,GURUKRUPA GROUP BUILDERS AND DEVELOPERS LLP,400075,,New Project,03/31/2024,,,Residential,851.49,0.0,5695.2,12/09/2023,,,87.0,62.0,0.0,1.0,0.0,13.0,1.0,0.0,54.0,0.0,0.0,0.0
Mumbai City,P51900045295,Kalpataru Azuro,Kalpataru Properties Pvt. Ltd.,400006,,New Project,12/31/2027,,,Residential,1008.32,100.83,4079.26,01/20/2024,1.0,,14.0,1.0,1.0,1.0,12.0,17.0,1.0,0.0,49.0,0.0,0.0,0.0
Mumbai City,P51900034393,RUPAREL LUMINARE,Shree Sukhakarta Developers Private Limited,400014,,New Project,06/30/2026,,,Residential,1525.34,0.0,15949.45,09/22/2022,,,210.0,54.0,2.0,2.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai City,P51900034863,Dipti Royal Arc,Dipti Associates,400028,"('19.028307530399587','72.840789246643810')",New Project,12/31/2024,,,Residential,647.16,0.0,3405.23,01/20/2024,,,42.0,37.0,1.0,1.0,0.0,21.0,1.0,0.0,40.0,0.0,0.0,0.0
