district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Mumbai Suburban,P51800051086,VRAJ GATEWAY-APARNA CHSL,VRAJ DEVELOPERS,400092,,New Project,12/31/2028,,,Residential,340.0,101.29,320.86,10/30/2023,,,7.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,14.0,0.0,0.0,0.0
Mumbai Suburban,P51800050748,SKY LARK,RAJENDRA PUNDLIKRAO GODSHALWAR,400056,"('19.628542000000000','72.503738800000000')",New Project,12/31/2027,,,Residential,840.6,0.0,1377.78,10/20/2023,,,19.0,0.0,0.0,1.0,0.0,10.0,1.0,2.0,22.0,0.0,0.0,0.0
Mumbai Suburban,P51800051076,Vaishno Neelkanth Apartment,Shree Vaishno Homes Pvt. ltd.,400097,"('19.179868200000000','72.859689900000000')",New Project,12/31/2024,,,Residential,928.5,0.0,1158.72,05/02/2023,,,11.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,41.0,0.0,0.0,0.0
Mumbai Suburban,P51800050935,RUPALI,L K INFRACON LLP,400097,,New Project,03/31/2026,,,Residential,585.7,374.76,1581.01,11/28/2023,,,35.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0
Mumbai Suburban,P51800050456,Courtyard,Royal Minerva Realty LLP,400098,,New Project,03/31/2028,,,Residential,4652.9,0.0,7178.01,11/08/2023,,,114.0,23.0,4.0,4.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050727,SUNDER BAUG CHSL,S S CONSTRUCTION,400067,,New Project,12/31/2026,,,Residential,2527.3,506.66,756.6,10/26/2023,,,42.0,0.0,0.0,1.0,3.0,8.0,1.0,16.0,105.0,0.0,0.0,0.0
Mumbai Suburban,P51800050959,REKHA CHSL,D S M GROUP,400062,"('19.166256600000000','72.852569600000000')",New Project,12/31/2026,,,Residential,425.2,0.0,502.21,05/02/2023,,,5.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,21.0,0.0,0.0,0.0
Mumbai Suburban,P51800050674,PADMANABH APARTMENT CO-OPERATIVE HOUSING SOCIETY LTD.,AAKAR REAL ESTATE DEVELOPERS,400063,,New Project,12/31/2025,,,Residential,385.8,0.0,1103.56,04/24/2023,,,23.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,21.0,0.0,0.0,0.0
Mumbai Suburban,P51800053837,"Construction of EWS,LIG,MIG-HIG T/s. on Open Plot-A and B S.NO 29P CTS NO50A Pahadi Goregaon Mumbai",MUMBAI HOUSING AND AREA DEVELOPMENT BOARD,400104,,New Project,12/31/2024,,,Residential,70339.74,4679.94,114151.1,11/29/2023,,,2683.0,0.0,0.0,15.0,0.0,345.0,15.0,56.0,15.0,0.0,0.0,0.0
Mumbai Suburban,P51800050191,SHRADDHA GOLD CREST,Shree Krishna Rahul Developers,400067,,New Project,12/31/2027,,,Residential,2755.3,0.0,6858.55,12/27/2023,,,200.0,34.0,0.0,2.0,8.0,46.0,2.0,0.0,108.0,0.0,0.0,0.0
Mumbai Suburban,P51800050351,Rivali Park - Sunburst,CCI PROJECTS PRIVATE LIMITED,400066,"('19.217311079984440','72.863623643563830')",New Project,08/31/2028,,,Residential,920.51,0.0,30185.0,11/27/2023,,,277.0,248.0,2.0,1.0,4.0,40.0,2.0,0.0,305.0,0.0,0.0,0.0
Mumbai Suburban,P51800051637,Unique Enclave Residency,FAZAL  SHAIKH,400083,"('19.153823100000000','72.875178600000000')",New Project,09/30/2026,,,Residential,824.72,0.0,0.0,06/16/2023,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050428,NAVKAR RESIDENCY,OM NAVKAR INFRASTRUCTURE LLP,400056,,New Project,09/30/2026,,,Residential,1851.0,0.0,5396.84,10/20/2023,,,51.0,35.0,0.0,4.0,2.0,16.0,4.0,0.0,91.0,0.0,0.0,0.0
Mumbai Suburban,P51800050277,PRIME MARINA,SEAKING CLUB PRIVATE LIMITED,400049,,New Project,09/30/2024,,,Residential,1046.0,159.01,1707.41,07/20/2023,,,7.0,0.0,0.0,1.0,4.0,10.0,1.0,22.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050808,RAGHAV PARIJAT,RAGHAV Realty Developers,400024,"('19.153823100000000','72.875178600000000')",New Project,12/30/2025,,,Residential,867.53,0.0,0.0,10/17/2023,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050064,Nehru Nagar Nirmal C.H.S. Ltd.,Deraiya Realtors Private Limited,400024,"('19.061214846929857','72.879505003141000')",New Project,12/31/2026,,,Residential,1292.96,340.39,6838.01,12/16/2023,,,142.0,18.0,0.0,1.0,0.0,13.0,1.0,0.0,30.0,0.0,0.0,0.0
Mumbai Suburban,P51800050518,HIRANMAY NIWAS CO-OPERATIVE HOUSING SOCIETY LIMITED,SAMARPAN HOMES & DEVELOPERS,400066,,New Project,01/26/2025,,,Residential,863.2,0.0,2021.21,11/16/2023,,,32.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,32.0,0.0,0.0,0.0
Mumbai Suburban,P51800050652,LOTUS ARSHABHARAT,DHARTI AAKAR REALTY,400104,,New Project,08/31/2026,,,Residential,1411.0,211.65,3809.64,10/14/2023,,,62.0,0.0,0.0,2.0,0.0,18.0,2.0,0.0,67.0,0.0,0.0,0.0
Mumbai Suburban,P51800050202,Horizon Heights,I.R.Developers LLP,400093,,New Project,03/31/2026,,,Residential,1254.3,175.0,2195.28,11/06/2023,,,23.0,2.0,0.0,1.0,3.0,13.0,1.0,0.0,55.0,0.0,0.0,0.0
Mumbai Suburban,P51800050095,SANTACRUZ ANURAG MANDIR CHSL,S M CONSTRUCTIONS,400054,"('19.086080000000000','72.836030000000000')",New Project,08/31/2024,,,Residential,603.0,0.0,1251.0,03/06/2023,,,22.0,0.0,0.0,1.0,0.0,5.0,31.0,0.0,31.0,0.0,0.0,0.0
Mumbai Suburban,P51800049834,SIPS Jalaram,SIPS Buildcon,400077,,New Project,06/30/2025,,,Residential,1105.5,167.75,3536.22,11/21/2023,,,18.0,3.0,0.0,1.0,2.0,11.0,1.0,0.0,56.0,0.0,0.0,0.0
Mumbai Suburban,P51800050892,VASTU SHILP,Vastu Nirman Realtors,400066,,New Project,12/31/2026,,,Residential,936.8,0.0,2488.44,04/28/2023,,,62.0,0.0,0.0,2.0,0.0,37.0,2.0,0.0,31.0,0.0,0.0,0.0
Mumbai Suburban,P51800051885,NIRVAANA GREENS,VARDHMAN GANPATLAL SINGHVI,400075,,New Project,12/31/2025,,,Residential,706.4,0.0,0.0,06/27/2023,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050811,Arham Aryan,Trinity Builders,400071,,New Project,12/31/2025,,,Residential,854.2,0.0,2241.49,08/30/2023,,,22.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,44.0,0.0,0.0,0.0
Mumbai Suburban,P51800050933,K L ASTORIA,K L HOUSING LLP,400050,"('19.033559000000000','72.492551000000000')",New Project,12/31/2025,,,Residential,1381.3,0.0,3030.83,10/16/2023,,,35.0,5.0,0.0,1.0,4.0,15.0,1.0,0.0,68.0,0.0,0.0,0.0
Mumbai Suburban,P51800051596,MANTRI OUR HOME,PENTAGON PREMISES PRIVATE LIMITED,400053,"('19.112104900000000','72.861072999999990')",New Project,03/31/2027,,,Residential,2799.0,929.0,3053.32,06/19/2023,,,48.0,0.0,4.0,2.0,2.0,12.0,2.0,0.0,109.0,0.0,0.0,0.0
Mumbai Suburban,P51800050757,UNIQUE SHINE,FAZAL MEHMOOD SHAIKH,400083,"('19.119608000000000','72.937673000000000')",New Project,12/31/2026,,,Residential,638.68,0.0,0.0,08/11/2023,,,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050125,CHARKOP NANDANVAN CHSL,JADEITE DEVELOPERS LLP,400067,,New Project,12/31/2026,,,Residential,1445.5,0.0,7070.42,10/13/2023,,,152.0,45.0,0.0,1.0,0.0,21.0,0.0,0.0,83.0,0.0,0.0,0.0
Mumbai Suburban,P51800051576,WEST AVENUE,M/s Dhabalia Enterprises,400092,"('19.153823100000000','72.875178600000000')",New Project,03/31/2026,,,Residential,881.9,0.0,2857.1,12/02/2023,1.0,,4.0,0.0,0.0,1.0,4.0,14.0,0.0,0.0,60.0,0.0,0.0,0.0
Mumbai Suburban,P51800050809,I STAY TOWER - E (1-BHK),STARWING REAL ESTATE COMPANY,400059,,New Project,11/30/2028,,,Residential,7916.83,0.0,208.87,10/27/2023,,,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800052562,GARODIA NAGAR MAHAVIR DHAM CHS LTD,GARODIA NAGAR MAHAVIR DHAM CHS LTD,400077,,New Project,12/31/2025,,,Residential,1839.2,0.0,4201.52,11/08/2023,,,52.0,0.0,1.0,1.0,3.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800050330,APURVA VAISHALI CHSL,DIRAVYA DEVELOPERS LLP,400066,"('19.234877250962670','72.861458296295180')",New Project,09/30/2025,,,Residential,375.1,0.0,1214.92,03/30/2023,,,22.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0
Mumbai Suburban,P51800051371,HEM RATAN APARTMENTS AND KAMLESH APARTMENTS,NEW INDIA CONSTRUCTION COMPANY,400069,,New Project,12/31/2026,,,Residential,4216.0,0.0,4016.03,11/04/2023,,,155.0,94.0,0.0,2.0,2.0,9.0,2.0,0.0,141.0,0.0,0.0,0.0
Mumbai Suburban,P51800050668,Grace Palacio,Grace Infracon & Property Developers (I) Private Limited,400052,,New Project,12/31/2026,,,Residential,484.9,0.0,2594.55,09/09/2023,,,38.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,38.0,0.0,0.0,0.0
Mumbai Suburban,P51800050593,"LA SERENA Tower 5, Tower 6 and Tower 7",PEBBLE PARK DEVELOPERS LLP,400067,,New Project,12/31/2028,,,Residential,9591.7,0.0,1323.66,10/27/2023,,,165.0,18.0,0.0,3.0,15.0,54.0,3.0,0.0,16.0,0.0,0.0,0.0
Mumbai Suburban,P51800053187,VIRA VILLA,VIRA REALTY,400057,,New Project,03/31/2028,,,Residential,848.81,0.0,667.39,10/09/2023,3.0,,11.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,24.0,0.0,0.0,0.0
Mumbai Suburban,P51800051283,J-24 Mahavir Nagar CHS Ltd,KONARK RAJENDRA SHAH,400067,,New Project,03/31/2025,,,Residential,1114.79,0.0,2960.47,06/03/2023,,,58.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,36.0,0.0,0.0,0.0
Mumbai Suburban,P51800050326,Aarambh Phase III by group Satellite,Satellite Developers Private Limited,400097,"('19.190079526022010','72.870985622845470')",New Project,08/31/2027,,,Residential,869.0,0.0,5778.0,04/03/2023,,,207.0,0.0,1.0,1.0,0.0,13.0,1.0,0.0,35.0,0.0,0.0,0.0
Mumbai Suburban,P51800050269,Rustomjee Cleon,KEYSTONE REALTORS LIMITED,400051,,New Project,06/25/2027,,,Residential,816.0,0.0,5017.59,11/22/2023,,,95.0,20.0,1.0,1.0,0.0,15.0,1.0,0.0,66.0,0.0,0.0,0.0
Mumbai Suburban,P51800050356,Shraddha Presidency,Shraddha Landmark Private Limited,400083,,New Project,12/31/2026,,,Residential,2310.38,0.0,0.0,12/27/2023,,,240.0,71.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050490,Pramukh Krupa Phase Two,Pinal Realty LLP,400080,,New Project,03/31/2027,,,Residential,1665.95,0.0,3799.78,04/06/2023,,,62.0,0.0,2.0,1.0,2.0,16.0,1.0,0.0,33.0,0.0,0.0,0.0
Mumbai Suburban,P51800050953,Arkade Nest,Arkade Developers Pvt. Ltd.,400080,,New Project,06/30/2027,,,Residential,8327.2,3914.42,7791.6,12/22/2023,,,91.0,23.0,0.0,6.0,30.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
Mumbai Suburban,P51800050592,Smriti,Mahesh Balkrishna Sambhus,400063,,New Project,03/31/2026,,,Residential,468.1,0.0,1263.77,12/27/2023,,,11.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,22.0,0.0,0.0,0.0
Mumbai Suburban,P51800050378,VERVE ELINA,VERVE GREENS HOLDING AND REALTY PRIVATE LIMITED,400103,,New Project,12/31/2026,,,Residential,4109.3,883.23,12110.0,11/04/2023,2.0,,58.0,0.0,2.0,1.0,1.0,28.0,2.0,0.0,178.0,0.0,0.0,0.0
Mumbai Suburban,P51800051344,KABRA GARNET - Redevelopment of Jayvikas Premises Co-Op Hsg Soc Ltd,KABRA AND ASSOCIATES,400064,"('19.188954100000000','72.835543000000000')",New Project,12/31/2026,,,Residential,2618.6,524.68,3903.0,11/22/2023,,,118.0,50.0,0.0,1.0,1.0,22.0,1.0,0.0,127.0,0.0,0.0,0.0
