district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking
Nagpur,P50500015333,GREEN VIEW RESIDENCY,N K ASSOCIATES,440033,"('19.207236600000002','72.834822099999997')",New Project,01/31/2020,,01/30/2022,Residential,786.98,50.0,786.48,02/13/2018,,,16.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,16.0,0.0
Nagpur,P50500015285,Bloomdale Building 06,Mahindra Bebanco Developers Limited,441108,"('21.040847000000000','79.037812000000000')",New Project,12/30/2021,,06/30/2023,Residential,9543.31,1292.27,10616.37,07/02/2023,3.0,,126.0,126.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,82.0,44.0
Nagpur,P50500015440,MAHARSHEE MANOHAR,MAHARSHEE BUILDERS,440010,"('21.125486000000000','79.093776000000000')",New Project,02/28/2021,,,Residential,635.17,0.0,1075.66,09/29/2018,,,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0
Nagpur,P50500017530,"AFFORDABLE HOUSING PROPOSED ON KH.NO.54,CITY SURVEY NO.173 LAYOUT PLAN NEAR SHESHNAGAR.",Nagpur Improvement Trust,440009,"('21.131000000000000','79.129000000000000')",New Project,12/31/2019,,12/30/2021,Residential,13365.21,1973.74,24671.87,06/30/2021,4.0,,454.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,38.0,4.0,71.0,1287.0
Nagpur,P50500015224,SAI SHRADHA,SHREE SAI BUILDERS,440027,"('21.096604000000000','79.102398000000000')",New Project,02/29/2020,,,Residential,368.94,0.0,461.18,02/02/2018,,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0
Nagpur,P50500015438,KUKREJA INFINITY,KUKREJA INFRASTRUCTURES,440001,"('21.155983000000000','79.078047000000000')",New Project,12/30/2023,,,Residential,2804.14,0.0,3478.1,10/21/2023,,,51.0,49.0,0.0,0.0,0.0,2.0,1.0,0.0,31.0,1.0,0.0,76.0
Nagpur,P50500015778,SAI SHREE APARTMENT,FRIENDS HOUSING CO OPRATIVE SOCIETY LIMITED,441106,"('19.200702300000000','73.188061800000000')",New Project,11/01/2021,,,Residential,2000.0,0.0,1970.0,01/17/2023,,,52.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,0.0,0.0,0.0
Nagpur,P50500015613,LAVA 7 ESTATE,FAIR HOMES INFRAVENTURES PRIVATE LIMITED NAGPUR,440023,"('21.170473569750985','78.982602546362390')",New Project,04/01/2023,,03/31/2024,Residential,12100.0,3205.23,4993.73,06/27/2023,,,212.0,67.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,3.0,0.0,3.0
Nagpur,P50500015526,NIRMITI HEIGHTS,ANNAPURNA DEVELOPERS,440036,"('21.106014558859922','79.024696216916710')",New Project,02/11/2022,,02/11/2023,Residential,4136.95,812.0,8258.0,03/08/2022,,,252.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,22.0,41.0
Nagpur,P50500015502,DURVANKUR ENCLAVE,NIRAJ MADHUKAR RAHATE,440015,"('21.092602000000000','79.072602000000000')",New Project,12/30/2021,,,Residential,480.76,0.0,625.0,06/18/2018,,,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,7.0
Nagpur,P50500016182,HANS NAGARI,SHREE HANS KRUPA HOUSING LAND DEVELOPERS & BUILDERS,440026,"('19.187229400000000','72.840747300000004')",New Project,04/01/2024,,,Residential,8100.0,810.04,7246.45,04/10/2018,,,68.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,21.0,0.0,0.0,246.0
Nagpur,P50500015550,NAMDEOWADI-1,LAXMI BHAGWAN KSHIRSAGAR,440023,"('19.222073999999999','73.078895700000004')",New Project,03/30/2022,,,Residential,1102.0,0.0,1309.0,06/20/2018,,,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,1.0
Nagpur,P50500015614,Orchid Crown,Landmarks Orchid Homes Infraventures,440015,"('18.989400700000001','73.117516199999997')",New Project,09/30/2020,,,Residential,1355.0,1355.0,1694.0,07/31/2021,,,33.0,33.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,10.0,23.0
Nagpur,P50500016107,BAITUS SALEHEEN,Rainbow Constructions,440002,"('21.159183000000000','79.121307000000000')",New Project,12/31/2019,,,Residential,2201.0,200.0,2591.77,08/07/2018,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0
Nagpur,P50500015893,SHRIVAS TOWER V,SHRIVAS REALTIES,440026,"('18.981045099999999','72.826757900000004')",New Project,04/30/2019,,10/29/2020,Residential,360.0,0.0,360.0,03/27/2018,,,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,26.0
Nagpur,P50500016144,EARTH HEIGHTS I,EARTH INFRA,440009,"('19.074105899999999','72.880418300000002')",New Project,09/30/2020,,12/30/2021,Residential,1599.0,1599.0,1621.84,01/10/2022,,,40.0,36.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,68.0,0.0,1.0
