district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Thane,P51700011797,POONAM ESTATE MHADA BLDG NO 8 AND 9,Ravi Developments,401107,"('19.285519600000001','72.869296700000007')",On-Going Project,12/31/2017,12/31/2017,,Residential,529.72,24231.85,8023.2,03/31/2018,1.0,,280.0,280.0,0.0,2.0,0.0,38.0,2.0,0.0,16.0,0.0,0.0,0.0
Thane,P51700005603,SARVODAY HILL,AASHISH COMBINES,421201,"('19.209400599999999','73.093948299999994')",On-Going Project,07/31/2019,01/31/2021,,Residential,7308.39,1065.06,10823.16,07/11/2022,1.0,,191.0,147.0,0.0,3.0,3.0,48.0,3.0,15.0,39.0,0.0,0.0,0.0
Thane,P51700007526,DEVESH,OM CONSTRUCTION CO,401105,"('19.285519600000001','72.869296700000007')",On-Going Project,07/20/2021,08/28/2023,,Residential,3838.0,570.08,3819.27,03/17/2021,,,44.0,44.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
Thane,P51700005737,INDRALOK HEIGHTS,INDRALOK CONSTRUCTION CO,401105,"('19.305928999999999','72.867832000000007')",On-Going Project,10/01/2015,12/31/2017,,Residential,2554.85,397.66,2454.85,01/20/2022,,,67.0,66.0,0.0,1.0,0.0,11.0,1.0,3.0,6.0,0.0,0.0,0.0
Thane,P51700002868,YASHODHARA CO-OP HOUSING SOCIETY,SURESH KESHAVRAO YASHVANTRAO,421503,"('19.207884000000000','73.187899000000002')",On-Going Project,07/31/2020,01/31/2021,,Residential,547.66,20.0,791.29,01/06/2022,,,27.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Thane,P51700006433,MAHADEV HEIGHTS,MANISH NANDKUMAR PATIL,401101,"('19.290576999999999','72.850646999999995')",On-Going Project,07/30/2018,07/31/2019,01/31/2021,Residential,3462.41,0.0,3462.41,12/27/2019,,,84.0,34.0,0.0,0.0,0.0,8.0,1.0,48.0,1.0,0.0,0.0,0.0
Thane,P51700009060,Diwadkar Lotus,Honest Infra,421301,"('19.252713199999999','73.129059600000005')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Residential,1695.5,454.65,3474.65,04/22/2021,,,35.0,29.0,0.0,1.0,3.0,18.0,1.0,0.0,67.0,0.0,0.0,0.0
Thane,P51700010066,SAPPHIRE HILLS,IMPERIAL GROUP BUILDERS AND DEVELOPERS,400612,"('19.179926500000001','73.028720899999996')",On-Going Project,12/31/2020,12/30/2021,,Residential,750.0,0.0,601.58,04/04/2018,,,17.0,8.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Thane,P51700012079,PHOENIX AVENUE,PHOENIX INFRASTRUCTURE AND DEVELOPERS,421301,"('19.261391000000000','73.134733999999995')",On-Going Project,06/30/2018,06/30/2018,,Residential,1410.0,0.0,2384.45,01/02/2020,1.0,,39.0,30.0,0.0,1.0,0.0,15.0,0.0,23.0,0.0,0.0,0.0,0.0
Thane,P51700012851,SHALOM JOVE,COTTADIYIL ENTERPRISES,401101,"('19.285519600000001','72.869296700000007')",On-Going Project,03/31/2017,12/31/2018,12/31/2019,Residential,3153.99,63.07,3153.99,08/13/2021,,,60.0,58.0,0.0,1.0,0.0,11.0,1.0,9.0,0.0,0.0,0.0,0.0
