district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Dadra & Nagar Haveli,P49600000001,Pramukh Sneh Phase 2,Pramukh Realty,396230,"('20.255317591410726','73.011128801605200')",On-Going Project,12/31/2018,12/31/2018,,Group Housing,3709.0,384.0,5708.0,03/09/2020,,144.0,132.0,0.0,2.0,0.0,20.0,2.0,44.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000048,SIGNATURE HEIGHTS,SHRI BALAJI REALITY,396230,"('20.278759999999998','73.008037999999999')",New Project,12/15/2019,,12/14/2021,Mixed Development(Residential  and Commercial),2600.0,1803.59,5029.97,08/18/2021,,79.0,0.0,1.0,1.0,0.0,10.0,1.0,0.0,68.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000002,DEEP LAXMI DEVELOPERS,DEEP LAXMI DEVELOPERS,396230,"('21.111700200000001','79.072979300000000')",On-Going Project,03/31/2018,09/30/2020,,Mixed Development(Residential  and Commercial),1004.0,997.61,8101.16,05/16/2018,,63.0,30.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000004,PRAMUKH GARDENS PHASE 2,PRASHANT DEVELOPERS PVT LTD,396230,"('20.280017249361848','73.010459290351830')",On-Going Project,12/31/2019,12/31/2019,,Group Housing,11614.17,2331.0,20522.61,07/02/2019,,189.0,100.0,0.0,5.0,0.0,50.0,5.0,80.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000010,VRUNDAVAN,SILVASSA ASBESTOS CEMENT PRODUCT,396230,"('20.282335000000000','73.011070000000004')",On-Going Project,10/31/2018,10/31/2018,,Mixed Development(Residential  and Commercial),12977.25,1309.26,6298.28,09/21/2019,,112.0,12.0,0.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000051,SAHJANAND PARK,LAXMI REALTORS,396230,"('20.281794999999999','73.009574999999998')",New Project,12/22/2024,,,Group Housing,8836.0,441.8,8362.0,04/06/2018,,268.0,0.0,0.0,6.0,0.0,30.0,6.0,6.0,6.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000008,Pramukh Sangam Phase 2,Pramukh Devcon Pvt. Ltd,396230,"('20.256801800000000','73.011018100000000')",On-Going Project,03/31/2019,03/31/2019,,Group Housing,3940.65,806.73,7757.2,08/22/2020,,144.0,130.0,0.0,2.0,0.0,20.0,2.0,49.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000031,SHASHIKALP CLASSIC,SHREE SHIV BUILDERS,396230,"('20.255680999999999','73.009666999999993')",On-Going Project,07/31/2018,07/31/2018,07/31/2019,Mixed Development(Residential  and Commercial),2000.0,0.0,3751.75,10/16/2019,,111.0,65.0,0.0,1.0,0.0,10.0,0.0,0.0,18.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000006,Yogi Milan Phase 2,Shiv Builders,396230,"('20.279993031798483','72.992042466934210')",On-Going Project,03/31/2019,03/31/2019,,Group Housing,4360.0,512.0,8706.92,06/20/2019,,162.0,160.0,0.0,3.0,0.0,30.0,3.0,60.0,54.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000005,PRABHAT APPARTMENT,AB DEVELOPERS,396230,"('20.280571999999999','73.006394999999998')",On-Going Project,01/15/2018,05/15/2018,,Group Housing,630.5,0.0,756.6,10/31/2018,,16.0,16.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000042,THE VEDAS,Sai Infrastructure and Developers,396230,"('18.597300199999999','73.692523600000001')",New Project,12/30/2023,,,Mixed Development(Residential  and Commercial),6130.0,707.0,4840.0,12/18/2023,,96.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000029,"JAS LUXURIA , J-1",ASHNAY Developers,396230,"('20.273105999999999','72.994921000000005')",On-Going Project,12/30/2019,12/30/2019,,Mixed Development(Residential  and Commercial),1930.73,0.0,6359.62,07/10/2020,,70.0,6.0,2.0,2.0,0.0,20.0,0.0,10.0,16.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000041,SRI MADHAV RESIDENCY,SRI MADHAV CORPORATION,396193,"('18.450729800000001','73.891401299999998')",On-Going Project,12/31/2022,12/30/2023,,Group Housing,5950.0,492.24,8881.99,11/18/2017,,196.0,49.0,0.0,4.0,0.0,37.0,4.0,62.0,21.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000022,Yogi Milan Phase 3,Shiv Builders,396230,"('20.279428706837507','72.992317687241330')",On-Going Project,03/31/2020,09/30/2020,,Group Housing,4463.0,524.0,8925.54,07/07/2020,,144.0,136.0,0.0,2.0,0.0,20.0,2.0,40.0,50.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000033,SPRING CITY,SPRING CITY DEVELOPERS,396230,"('20.241790999999999','73.008471000000000')",On-Going Project,12/31/2025,12/30/2026,,Group Housing,14620.0,1462.0,30415.84,08/11/2021,,432.0,146.0,0.0,7.0,0.0,63.0,7.0,90.0,130.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000025,SRI KONARK PLAZA,SRI KONARK CORPORATION,396230,"('19.864021500000000','75.263947999999999')",On-Going Project,10/31/2018,10/31/2018,,Mixed Development(Residential  and Commercial),1550.0,0.0,2779.06,10/30/2017,,46.0,13.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000003,SAI AURA,DATTA PROJECTS PVT LTD,396230,"('20.280000000000000','72.980000000000000')",On-Going Project,12/31/2019,10/30/2020,,Mixed Development(Residential  and Commercial),4520.0,452.0,8814.0,02/10/2020,,181.0,115.0,0.0,4.0,0.0,20.0,2.0,0.0,37.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000009,AKSHAR GREENS,MUNIVAR DEVELOPERS,396230,"('20.263558000000000','72.998581000000002')",On-Going Project,10/09/2022,10/09/2023,,Mixed Development(Residential  and Commercial),7900.0,783.47,15430.67,09/02/2023,,310.0,92.0,0.0,0.0,0.0,40.0,27.0,68.0,27.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000007,TIRUPATI RESIDENCY,DATTA PROJECTS PVT LTD,396230,"('20.281272000000001','72.991911000000002')",On-Going Project,12/31/2018,03/30/2019,,Mixed Development(Residential  and Commercial),3888.0,580.0,7344.19,03/27/2022,,109.0,91.0,1.0,2.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000021,HORIZON HEIGHTS B WING,JUPITER BUILDER AND DEVELOPERS,396230,"('20.283288359368683','73.003685134393320')",On-Going Project,03/31/2019,03/31/2019,09/30/2020,Group Housing,2100.0,0.0,4071.78,09/02/2022,,99.0,41.0,0.0,1.0,0.0,10.0,1.0,0.0,24.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000032,HARI LILA,DEEPAK HARGOVIND DOSHI,396230,"('21.097704900000000','79.129451599999996')",On-Going Project,12/31/2018,12/31/2018,,Mixed Development(Residential  and Commercial),1900.0,275.82,2215.84,10/22/2019,,30.0,9.0,1.0,1.0,0.0,5.0,1.0,0.0,12.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000023,SHIVAM HEIGHTS,KRISHNA ENTERPRISE,396230,"('20.243175000000001','73.012625000000000')",On-Going Project,12/31/2020,12/30/2021,,Mixed Development(Residential  and Commercial),4149.19,456.0,6698.89,01/08/2022,,164.0,109.0,0.0,2.0,0.0,20.0,0.0,30.0,29.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000019,SAI NAGAR PHASE 2 K WING,DATTAINFINITY,396230,"('21.020271800000000','79.049144999999996')",On-Going Project,10/31/2018,03/31/2019,,Group Housing,2000.0,180.0,3841.38,02/10/2020,,90.0,71.0,0.0,1.0,0.0,10.0,1.0,0.0,26.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000038,MAHADEV RESIDENCY NAROLI,MAGIC RETREAT,396235,"('20.282865999999999','72.939796999999999')",New Project,12/30/2022,,06/30/2023,Group Housing,16900.0,6483.0,15264.57,02/21/2023,,282.0,37.0,0.0,11.0,0.0,25.0,11.0,0.0,11.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000030,JAS Exotica Phase II,Hriday Developers,396230,"('20.275268000000001','72.993707999999998')",On-Going Project,12/31/2019,12/31/2019,,Group Housing,1371.01,0.0,5197.32,10/24/2019,,44.0,19.0,0.0,1.0,0.0,12.0,1.0,0.0,19.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000028,PADMAVATI ENCLAVE PHASE 2,Juzer Firoz Stovewalla,396230,"('20.124054000000001','73.069247000000004')",On-Going Project,03/31/2018,03/31/2018,,Group Housing,999.77,395.0,2299.73,12/21/2018,,32.0,14.0,0.0,1.0,0.0,5.0,1.0,0.0,16.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000013,MANORATH RESIDENCY PHASE - 2,Krishnakumar Ramsinh Parmar,396230,"('20.268959265618992','73.012501074899320')",On-Going Project,12/31/2019,12/31/2019,,Group Housing,1367.6,0.0,2721.21,12/28/2019,1.0,28.0,13.0,0.0,1.0,0.0,8.0,1.0,14.0,20.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000036,HORIZON RESIDENCY B BUILDING,ARHAM DEVELOPER,396230,"('20.281282999999998','72.997294999999994')",On-Going Project,12/30/2018,12/30/2018,,Group Housing,1500.0,0.0,2887.47,09/11/2019,,90.0,59.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000011,HORIZON RESIDENCY C BUILDING,ARHAM DEVELOPER,396230,"('20.281804000000001','72.997427999999999')",On-Going Project,12/31/2019,12/31/2019,12/30/2021,Group Housing,1750.0,0.0,3440.79,03/25/2023,,108.0,52.0,0.0,1.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000037,EKDANT SQUARE-RIDDHI WING,KALPSHREE DEVELOPERS,396230,"('20.278818000000001','73.002070000000003')",On-Going Project,05/31/2018,08/31/2018,,Mixed Development(Residential  and Commercial),2042.0,204.0,6676.0,08/04/2021,,125.0,65.0,0.0,1.0,0.0,10.0,1.0,12.0,26.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000018,RAJESHREE TOWER,AB DEVELOPERS,396230,"('21.073548800000001','78.961348599999994')",On-Going Project,03/03/2021,03/03/2022,,Mixed Development(Residential  and Commercial),6150.0,1066.63,11393.28,03/22/2022,,249.0,90.0,0.0,3.0,0.0,32.0,3.0,0.0,57.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000024,VEDANT RESIDENCY,JALARAM DEVELOPERS,396230,"('21.049485799999999','79.043317999999999')",On-Going Project,03/31/2019,03/31/2019,,Group Housing,2500.0,126.52,2876.8,06/27/2022,,76.0,53.0,2.0,2.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000014,JALARAM DARSHAN PHASE II,RADHEKRISHNA DEVELOPERS,396230,"('19.285519600000001','72.869296700000007')",On-Going Project,09/30/2018,10/31/2019,03/30/2022,Mixed Development(Residential  and Commercial),4616.0,43.63,8503.42,10/15/2018,,156.0,63.0,2.0,3.0,0.0,29.0,3.0,6.0,72.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000027,ARV RIVERDALE,M/S. A.R.V. REALTY,396230,"('21.049485799999999','79.043317999999999')",On-Going Project,12/31/2027,12/30/2028,,Mixed Development(Residential  and Commercial),3700.0,547.92,10388.41,04/05/2023,,324.0,105.0,0.0,2.0,0.0,20.0,2.0,0.0,36.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000015,BALAJI GEMS,KRISHNA ENTERPRISE,396230,"('18.557308200000001','73.787838500000007')",On-Going Project,06/25/2020,12/25/2020,,Group Housing,4325.0,300.0,8458.74,08/23/2021,,198.0,96.0,0.0,0.0,0.0,20.0,2.0,0.0,74.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000016,Saffron Height,Sun Corporation,396230,"('20.269179000000001','72.979843000000003')",On-Going Project,12/31/2019,12/31/2019,03/30/2021,Mixed Development(Residential  and Commercial),2250.0,70.0,4438.56,03/30/2021,,104.0,54.0,2.0,2.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000017,ANAND NAGAR,Abhishek Rajendra Mutha,396230,"('20.260735000000000','73.005241999999996')",On-Going Project,12/25/2018,12/25/2018,,Group Housing,2300.0,0.0,6559.62,08/23/2021,,96.0,89.0,0.0,0.0,0.0,9.0,1.0,0.0,25.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000012,GANESH SOCIETY PHASE 1,ASHISHBHAI BHARATBHAI THAKKAR,396230,"('21.049485799999999','79.043317999999999')",On-Going Project,10/31/2018,04/30/2019,05/20/2022,Mixed Development(Residential  and Commercial),1950.0,308.0,4151.56,10/15/2018,,65.0,47.0,1.0,1.0,0.0,10.0,1.0,12.0,1.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000034,SIDDHI TOWER,VIMLESH YUGRAJ SHUKLA,396230,"('20.285803000000001','72.995086000000001')",On-Going Project,12/31/2019,12/31/2019,06/30/2025,Mixed Development(Residential  and Commercial),3100.0,0.0,5547.48,05/25/2023,,163.0,64.0,0.0,0.0,0.0,17.0,2.0,0.0,25.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000026,KALPATARU RESIDENCY,DEVYANI R DODIA,396230,"('21.115747200000001','79.044730599999994')",On-Going Project,12/31/2021,12/30/2022,,Group Housing,9000.0,450.0,11370.09,08/23/2021,,112.0,0.0,3.0,1.0,0.0,32.0,4.0,0.0,112.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000035,SHAYONA ORNATE,SHAYONA DEVELOPERS,396230,"('19.850500000000000','75.352099999999993')",On-Going Project,12/31/2020,12/30/2021,,Group Housing,3600.0,0.0,4025.93,10/04/2019,,52.0,41.0,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000046,"BLOCK E, SRI RESIDENCY",SHREE GURUDEV ENTERPRISE,396230,"('20.262782999999999','72.997303000000002')",On-Going Project,09/30/2022,09/30/2023,,Mixed Development(Residential  and Commercial),2725.0,1758.82,4761.68,01/04/2019,,30.0,22.0,0.0,1.0,0.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0
Dadra & Nagar Haveli,P49600000039,ORION VILLA - P1,M.POONAM DEVELOPERS,396235,"('20.281028200000000','72.943261000000000')",On-Going Project,12/31/2018,06/30/2019,12/30/2020,Plotted Development,17500.0,1411.12,8757.84,12/05/2019,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,331.14,6.0
