district,rera_id,project_name,promoter_name,location_pin_code,location_lat_long,project_status,proposed_date_of_completion,revised_proposed_date_of_completion,extended_date_of_completion,project_type,project_area_(sqmts),recreational_open_space,sanctioned_fsi,date_last_modified,cases_count,complaints_count,number_of_appartments,number_of_booked_appartments,number_of_basements,number_of_plinth,number_of_podiums,number_of_sanctioned_floors,number_of_stilts,total_no__of_open_parking_as_per_sanctioned_plan_(4-wheeler+2-wheeler),number_of_closed_parking,number_of_plots,area_of_plot(in_sqmts),number_of_plots_booked_/_alloted_/_sold
Raigarh,P52000052718,SANDHYA SADAN,SUJIT JANARDHAN MHATRE,410206,"('21.897400300000000','83.394963199999990')",New Project,06/30/2024,,,Residential,159.99,0.0,239.8,09/12/2023,,,10.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0
Raigarh,P52000051059,Nakshatra Heights,Sharvari Enterprises,402107,,New Project,06/30/2026,,,Residential,702.0,0.0,2421.44,05/15/2023,,,46.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Raigarh,P52000051010,ROYAL DIAMOND APARTMENT,AMOL ASHOK PATIL,410206,,New Project,06/30/2024,,,Residential,250.0,0.0,369.9,05/15/2023,,,16.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0
Raigarh,P52000050872,MANOHAR APARTMENT,AMEYA SHRIKANT BHAVE,402104,"('21.897400300000000','83.394963199999990')",New Project,03/31/2024,,,Residential,565.2,0.0,955.05,10/25/2023,,,16.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,12.0,0.0,0.0,0.0
Raigarh,P52000050339,Shrivega,SHRIVEGA,402113,,New Project,01/01/2028,,,Residential,157270.7,0.0,12284.53,10/19/2023,,,159.0,0.0,0.0,159.0,0.0,159.0,0.0,159.0,0.0,0.0,0.0,0.0
Raigarh,P52000050498,Alibag Bliss,ACORP,402201,,New Project,12/31/2029,,,Residential,313.0,0.0,550.87,12/29/2023,,,10.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0
Raigarh,P52000052870,Siddhivinayak Heights,Art Vision Builders and Developers,410201,"('18.919613028659267','73.328756148722850')",New Project,03/31/2025,,,Residential,444.0,0.0,1187.03,08/12/2023,,,24.0,0.0,0.0,1.0,0.0,6.0,1.0,28.0,0.0,0.0,0.0,0.0
Raigarh,P52000050611,LA-CASA,RISHABH RAJENDRA SHAH,410206,,New Project,03/31/2026,,,Residential,349.47,0.0,1029.42,04/18/2023,,,28.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0,5.0,0.0,0.0,0.0
Raigarh,P52000050196,Acacia,Persipina Developers Private Limited,410221,"('21.897400300000000','83.394963199999990')",New Project,12/31/2028,,,Residential,725.0,0.0,23487.88,10/26/2023,,,,,0.0,1.0,2.0,37.0,0.0,5.0,281.0,0.0,0.0,0.0
Raigarh,P52000050193,Orchid,Persipina Developers Private Limited,410221,"('21.897400300000000','83.394963199999990')",New Project,12/31/2028,,,Residential,891.0,0.0,30693.03,10/26/2023,,,281.0,176.0,0.0,1.0,2.0,37.0,0.0,5.0,281.0,0.0,0.0,0.0
Raigarh,P52000050194,Iris,Persipina Developers Private Limited,410221,"('21.897400300000000','83.394963199999990')",New Project,12/31/2028,,,Residential,680.0,0.0,22097.65,10/26/2023,,,137.0,54.0,0.0,1.0,2.0,37.0,0.0,5.0,206.0,0.0,0.0,0.0
